Student_ID,Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100),Internal1_25,Internal2_25,Assignment_5,Internal_Total,Risk
S1000,84,30,36,7,3,72,18.75,22.5,3.5,24.125,Medium
S1001,91,24,38,6,3,56,15.0,23.75,3.0,22.375,Medium
S1002,73,29,26,7,3,56,18.125,16.25,3.5,20.6875,High
S1003,80,36,35,7,3,74,22.5,21.875,3.5,25.6875,Medium
S1004,84,31,37,8,3,66,19.375,23.125,4.0,25.25,Medium
S1005,100,34,34,7,3,79,21.25,21.25,3.5,24.75,Low
S1006,96,40,36,8,3,83,25.0,22.5,4.0,27.75,Low
S1007,83,39,37,7,3,77,24.375,23.125,3.5,27.25,Low
S1008,91,30,37,8,2,71,18.75,23.125,4.0,24.9375,Medium
S1009,87,27,37,8,3,61,16.875,23.125,4.0,24.0,Medium
S1010,77,34,25,7,2,54,21.25,15.625,3.5,21.9375,Medium
S1011,78,26,28,6,3,53,16.25,17.5,3.0,19.875,Medium
S1012,77,27,29,7,3,53,16.875,18.125,3.5,21.0,Medium
S1013,84,28,34,9,3,55,17.5,21.25,4.5,23.875,Medium
S1014,86,38,33,8,3,65,23.75,20.625,4.0,26.1875,Medium
S1015,71,28,29,7,3,53,17.5,18.125,3.5,21.3125,High
S1016,94,34,36,8,3,75,21.25,22.5,4.0,25.875,Low
S1017,85,29,36,7,2,69,18.125,22.5,3.5,23.8125,Medium
S1018,84,36,34,8,3,74,22.5,21.25,4.0,25.875,Medium
S1019,82,35,29,7,3,66,21.875,18.125,3.5,23.5,Medium
S1020,98,40,40,9,4,92,25.0,25.0,4.5,29.5,Low
S1021,83,27,35,7,2,52,16.875,21.875,3.5,22.875,Medium
S1022,84,26,35,8,3,54,16.25,21.875,4.0,23.0625,Medium
S1023,91,35,32,7,3,67,21.875,20.0,3.5,24.4375,Medium
S1024,85,35,26,6,3,52,21.875,16.25,3.0,22.0625,Medium
S1025,91,37,37,8,2,77,23.125,23.125,4.0,27.125,Low
S1026,86,39,30,7,3,71,24.375,18.75,3.5,25.0625,Medium
S1027,86,31,27,7,2,56,19.375,16.875,3.5,21.625,Medium
S1028,95,40,33,9,3,80,25.0,20.625,4.5,27.3125,Low
S1029,85,25,36,7,3,65,15.625,22.5,3.5,22.5625,Medium
S1030,78,25,33,7,3,56,15.625,20.625,3.5,21.625,Medium
S1031,75,31,35,7,3,60,19.375,21.875,3.5,24.125,Medium
S1032,85,34,35,8,4,73,21.25,21.875,4.0,25.5625,Medium
S1033,77,33,29,7,2,64,20.625,18.125,3.5,22.875,Medium
S1034,91,40,36,9,4,81,25.0,22.5,4.5,28.25,Low
S1035,87,33,33,8,3,69,20.625,20.625,4.0,24.625,Medium
S1036,83,32,26,7,4,70,20.0,16.25,3.5,21.625,Medium
S1037,80,29,36,6,3,54,18.125,22.5,3.0,23.3125,Medium
S1038,84,31,31,7,3,58,19.375,19.375,3.5,22.875,Medium
S1039,90,39,40,10,3,88,24.375,25.0,5.0,29.6875,Low
S1040,92,34,39,8,3,74,21.25,24.375,4.0,26.8125,Medium
S1041,75,31,24,8,2,55,19.375,15.0,4.0,21.1875,Medium
S1042,100,36,39,7,4,85,22.5,24.375,3.5,26.9375,Low
S1043,80,31,31,9,2,59,19.375,19.375,4.5,23.875,Medium
S1044,76,33,30,7,3,59,20.625,18.75,3.5,23.1875,Medium
S1045,97,38,33,7,3,79,23.75,20.625,3.5,25.6875,Low
S1046,95,40,36,7,3,84,25.0,22.5,3.5,27.25,Low
S1047,92,35,40,9,3,85,21.875,25.0,4.5,27.9375,Low
S1048,80,34,28,8,4,60,21.25,17.5,4.0,23.375,Medium
S1049,94,29,30,7,3,64,18.125,18.75,3.5,21.9375,Medium
S1050,84,33,31,8,3,67,20.625,19.375,4.0,24.0,Medium
S1051,74,31,32,6,2,51,19.375,20.0,3.0,22.6875,High
S1052,80,28,32,8,2,61,17.5,20.0,4.0,22.75,Medium
